FFMC	DMC	DC	ISI	temp	RH	wind	rain	area
8.490E+01	3.280E+01	6.642E+02	3.000E+00	1.670E+01	4.700E+01	4.900E+00	0.000E+00	0.000E+00
8.920E+01	2.790E+01	7.080E+01	6.300E+00	1.590E+01	3.500E+01	4.000E+00	0.000E+00	0.000E+00
8.630E+01	2.740E+01	9.710E+01	5.100E+00	9.300E+00	4.400E+01	4.500E+00	0.000E+00	0.000E+00
9.100E+01	1.295E+02	6.926E+02	7.000E+00	1.830E+01	4.000E+01	2.700E+00	0.000E+00	0.000E+00
9.180E+01	7.850E+01	7.243E+02	9.200E+00	1.910E+01	3.800E+01	2.700E+00	0.000E+00	0.000E+00
9.430E+01	9.630E+01	2.000E+02	5.610E+01	2.100E+01	4.400E+01	4.500E+00	0.000E+00	0.000E+00
9.020E+01	1.109E+02	5.374E+02	6.200E+00	1.950E+01	4.300E+01	5.800E+00	0.000E+00	0.000E+00
9.350E+01	1.394E+02	5.942E+02	2.030E+01	2.370E+01	3.200E+01	5.800E+00	0.000E+00	0.000E+00
9.140E+01	1.424E+02	6.014E+02	1.060E+01	1.630E+01	6.000E+01	5.400E+00	0.000E+00	0.000E+00
9.240E+01	1.179E+02	6.680E+02	1.220E+01	1.900E+01	3.400E+01	5.800E+00	0.000E+00	0.000E+00
9.090E+01	1.265E+02	6.865E+02	7.000E+00	1.940E+01	4.800E+01	1.300E+00	0.000E+00	0.000E+00
9.340E+01	1.454E+02	7.214E+02	8.100E+00	3.020E+01	2.400E+01	2.700E+00	0.000E+00	0.000E+00
9.350E+01	1.493E+02	7.286E+02	8.100E+00	2.280E+01	3.900E+01	3.600E+00	0.000E+00	0.000E+00
9.430E+01	8.510E+01	6.923E+02	1.590E+01	2.540E+01	2.400E+01	3.600E+00	0.000E+00	0.000E+00
8.860E+01	9.180E+01	7.099E+02	7.100E+00	1.120E+01	7.800E+01	7.600E+00	0.000E+00	0.000E+00
8.860E+01	6.970E+01	7.068E+02	5.800E+00	2.060E+01	3.700E+01	1.800E+00	0.000E+00	0.000E+00
9.170E+01	7.560E+01	7.183E+02	7.800E+00	1.770E+01	3.900E+01	3.600E+00	0.000E+00	0.000E+00
9.180E+01	7.850E+01	7.243E+02	9.200E+00	2.120E+01	3.200E+01	2.700E+00	0.000E+00	0.000E+00
9.030E+01	8.070E+01	7.302E+02	6.300E+00	1.820E+01	6.200E+01	4.500E+00	0.000E+00	0.000E+00
9.060E+01	3.540E+01	6.691E+02	6.700E+00	2.170E+01	2.400E+01	4.500E+00	0.000E+00	0.000E+00
9.000E+01	4.150E+01	6.826E+02	8.700E+00	1.130E+01	6.000E+01	5.400E+00	0.000E+00	0.000E+00
9.060E+01	4.370E+01	6.869E+02	6.700E+00	1.780E+01	2.700E+01	4.000E+00	0.000E+00	0.000E+00
8.810E+01	2.570E+01	6.760E+01	3.800E+00	1.410E+01	4.300E+01	2.700E+00	0.000E+00	0.000E+00
7.950E+01	6.060E+01	3.667E+02	1.500E+00	2.330E+01	3.700E+01	3.100E+00	0.000E+00	0.000E+00
9.020E+01	9.690E+01	6.242E+02	8.900E+00	1.840E+01	4.200E+01	6.700E+00	0.000E+00	0.000E+00
9.480E+01	1.083E+02	6.471E+02	1.700E+01	1.660E+01	5.400E+01	5.400E+00	0.000E+00	0.000E+00
9.250E+01	8.800E+01	6.986E+02	7.100E+00	1.960E+01	4.800E+01	2.700E+00	0.000E+00	0.000E+00
9.010E+01	8.290E+01	7.357E+02	6.200E+00	1.290E+01	7.400E+01	4.900E+00	0.000E+00	0.000E+00
9.430E+01	8.510E+01	6.923E+02	1.590E+01	2.590E+01	2.400E+01	4.000E+00	0.000E+00	0.000E+00
9.090E+01	1.265E+02	6.865E+02	7.000E+00	1.470E+01	7.000E+01	3.600E+00	0.000E+00	0.000E+00
9.420E+01	6.230E+01	4.429E+02	1.100E+01	2.300E+01	3.600E+01	3.100E+00	0.000E+00	0.000E+00
8.720E+01	2.390E+01	6.470E+01	4.100E+00	1.180E+01	3.500E+01	1.800E+00	0.000E+00	0.000E+00
8.760E+01	5.220E+01	1.038E+02	5.000E+00	1.100E+01	4.600E+01	5.800E+00	0.000E+00	0.000E+00
9.290E+01	1.370E+02	7.064E+02	9.200E+00	2.080E+01	1.700E+01	1.300E+00	0.000E+00	0.000E+00
9.020E+01	9.960E+01	6.312E+02	6.300E+00	2.150E+01	3.400E+01	2.200E+00	0.000E+00	0.000E+00
9.210E+01	1.112E+02	6.541E+02	9.600E+00	2.040E+01	4.200E+01	4.900E+00	0.000E+00	0.000E+00
9.210E+01	1.112E+02	6.541E+02	9.600E+00	2.040E+01	4.200E+01	4.900E+00	0.000E+00	0.000E+00
9.170E+01	1.143E+02	6.613E+02	6.300E+00	1.760E+01	4.500E+01	3.600E+00	0.000E+00	0.000E+00
9.290E+01	1.370E+02	7.064E+02	9.200E+00	2.770E+01	2.400E+01	2.200E+00	0.000E+00	0.000E+00
9.030E+01	8.070E+01	7.302E+02	6.300E+00	1.780E+01	6.300E+01	4.900E+00	0.000E+00	0.000E+00
9.260E+01	4.650E+01	6.918E+02	8.800E+00	1.380E+01	5.000E+01	2.700E+00	0.000E+00	0.000E+00
8.400E+01	9.300E+00	3.400E+01	2.100E+00	1.390E+01	4.000E+01	5.400E+00	0.000E+00	0.000E+00
8.660E+01	1.320E+01	4.300E+01	5.300E+00	1.230E+01	5.100E+01	9.000E-01	0.000E+00	0.000E+00
8.930E+01	5.130E+01	1.022E+02	9.600E+00	1.150E+01	3.900E+01	5.800E+00	0.000E+00	0.000E+00
8.930E+01	5.130E+01	1.022E+02	9.600E+00	5.500E+00	5.900E+01	6.300E+00	0.000E+00	0.000E+00
9.300E+01	7.530E+01	4.666E+02	7.700E+00	1.880E+01	3.500E+01	4.900E+00	0.000E+00	0.000E+00
9.020E+01	9.960E+01	6.312E+02	6.300E+00	2.080E+01	3.300E+01	2.700E+00	0.000E+00	0.000E+00
9.110E+01	1.032E+02	6.388E+02	5.800E+00	2.310E+01	3.100E+01	3.100E+00	0.000E+00	0.000E+00
9.170E+01	1.143E+02	6.613E+02	6.300E+00	1.860E+01	4.400E+01	4.500E+00	0.000E+00	0.000E+00
9.240E+01	1.179E+02	6.680E+02	1.220E+01	2.300E+01	3.700E+01	4.500E+00	0.000E+00	0.000E+00
9.240E+01	1.179E+02	6.680E+02	1.220E+01	1.960E+01	3.300E+01	5.400E+00	0.000E+00	0.000E+00
9.240E+01	1.179E+02	6.680E+02	1.220E+01	1.960E+01	3.300E+01	6.300E+00	0.000E+00	0.000E+00
9.170E+01	3.330E+01	7.750E+01	9.000E+00	1.720E+01	2.600E+01	4.500E+00	0.000E+00	0.000E+00
9.120E+01	4.830E+01	9.780E+01	1.250E+01	1.580E+01	2.700E+01	7.600E+00	0.000E+00	0.000E+00
9.430E+01	8.510E+01	6.923E+02	1.590E+01	1.770E+01	3.700E+01	3.600E+00	0.000E+00	0.000E+00
9.170E+01	3.330E+01	7.750E+01	9.000E+00	1.560E+01	2.500E+01	6.300E+00	0.000E+00	0.000E+00
8.880E+01	1.473E+02	6.145E+02	9.000E+00	1.730E+01	4.300E+01	4.500E+00	0.000E+00	0.000E+00
9.330E+01	1.412E+02	7.139E+02	1.390E+01	2.760E+01	3.000E+01	1.300E+00	0.000E+00	0.000E+00
8.420E+01	6.800E+00	2.660E+01	7.700E+00	6.700E+00	7.900E+01	3.100E+00	0.000E+00	0.000E+00
8.660E+01	1.320E+01	4.300E+01	5.300E+00	1.570E+01	4.300E+01	3.100E+00	0.000E+00	0.000E+00
8.760E+01	5.220E+01	1.038E+02	5.000E+00	8.300E+00	7.200E+01	3.100E+00	0.000E+00	0.000E+00
9.010E+01	1.080E+02	5.298E+02	1.250E+01	1.470E+01	6.600E+01	2.700E+00	0.000E+00	0.000E+00
9.100E+01	1.212E+02	5.616E+02	7.000E+00	2.160E+01	1.900E+01	6.700E+00	0.000E+00	0.000E+00
9.140E+01	1.424E+02	6.014E+02	1.060E+01	1.950E+01	3.900E+01	6.300E+00	0.000E+00	0.000E+00
9.020E+01	9.960E+01	6.312E+02	6.300E+00	1.790E+01	4.400E+01	2.200E+00	0.000E+00	0.000E+00
9.480E+01	1.083E+02	6.471E+02	1.700E+01	1.860E+01	5.100E+01	4.500E+00	0.000E+00	0.000E+00
9.210E+01	1.112E+02	6.541E+02	9.600E+00	1.660E+01	4.700E+01	9.000E-01	0.000E+00	0.000E+00
9.170E+01	1.143E+02	6.613E+02	6.300E+00	2.020E+01	4.500E+01	3.600E+00	0.000E+00	0.000E+00
9.290E+01	1.370E+02	7.064E+02	9.200E+00	2.150E+01	1.500E+01	9.000E-01	0.000E+00	0.000E+00
9.290E+01	1.370E+02	7.064E+02	9.200E+00	2.540E+01	2.700E+01	2.200E+00	0.000E+00	0.000E+00
9.290E+01	1.370E+02	7.064E+02	9.200E+00	2.240E+01	3.400E+01	2.200E+00	0.000E+00	0.000E+00
9.350E+01	1.493E+02	7.286E+02	8.100E+00	2.530E+01	3.600E+01	3.600E+00	0.000E+00	0.000E+00
9.170E+01	3.580E+01	8.080E+01	7.800E+00	1.740E+01	2.500E+01	4.900E+00	0.000E+00	0.000E+00
9.020E+01	9.690E+01	6.242E+02	8.900E+00	1.470E+01	5.900E+01	5.800E+00	0.000E+00	0.000E+00
9.170E+01	3.580E+01	8.080E+01	7.800E+00	1.740E+01	2.400E+01	5.400E+00	0.000E+00	0.000E+00
9.230E+01	8.530E+01	4.880E+02	1.470E+01	2.080E+01	3.200E+01	6.300E+00	0.000E+00	0.000E+00
9.140E+01	1.424E+02	6.014E+02	1.060E+01	1.820E+01	4.300E+01	4.900E+00	0.000E+00	0.000E+00
9.110E+01	1.032E+02	6.388E+02	5.800E+00	2.340E+01	2.200E+01	2.700E+00	0.000E+00	0.000E+00
8.970E+01	9.000E+01	7.044E+02	4.800E+00	1.780E+01	6.400E+01	1.300E+00	0.000E+00	0.000E+00
8.390E+01	8.000E+00	3.020E+01	2.600E+00	1.270E+01	4.800E+01	1.800E+00	0.000E+00	0.000E+00
9.140E+01	1.424E+02	6.014E+02	1.060E+01	1.160E+01	8.700E+01	4.500E+00	0.000E+00	0.000E+00
9.140E+01	1.424E+02	6.014E+02	1.060E+01	1.980E+01	3.900E+01	5.400E+00	0.000E+00	0.000E+00
9.140E+01	1.424E+02	6.014E+02	1.060E+01	1.980E+01	3.900E+01	5.400E+00	0.000E+00	0.000E+00
8.880E+01	1.473E+02	6.145E+02	9.000E+00	1.440E+01	6.600E+01	5.400E+00	0.000E+00	0.000E+00
9.480E+01	1.083E+02	6.471E+02	1.700E+01	2.010E+01	4.000E+01	4.000E+00	0.000E+00	0.000E+00
9.250E+01	1.211E+02	6.744E+02	8.600E+00	2.410E+01	2.900E+01	4.500E+00	0.000E+00	0.000E+00
8.210E+01	3.700E+00	9.300E+00	2.900E+00	5.300E+00	7.800E+01	3.100E+00	0.000E+00	0.000E+00
8.590E+01	1.950E+01	5.730E+01	2.800E+00	1.270E+01	5.200E+01	6.300E+00	0.000E+00	0.000E+00
9.140E+01	3.070E+01	7.430E+01	7.500E+00	1.820E+01	2.900E+01	3.100E+00	0.000E+00	0.000E+00
9.020E+01	9.960E+01	6.312E+02	6.300E+00	2.140E+01	3.300E+01	3.100E+00	0.000E+00	0.000E+00
9.250E+01	8.800E+01	6.986E+02	7.100E+00	2.030E+01	4.500E+01	3.100E+00	0.000E+00	0.000E+00
8.860E+01	9.180E+01	7.099E+02	7.100E+00	1.740E+01	5.600E+01	5.400E+00	0.000E+00	0.000E+00
8.590E+01	1.950E+01	5.730E+01	2.800E+00	1.370E+01	4.300E+01	5.800E+00	0.000E+00	0.000E+00
9.170E+01	3.330E+01	7.750E+01	9.000E+00	1.880E+01	1.800E+01	4.500E+00	0.000E+00	0.000E+00
8.970E+01	9.000E+01	7.044E+02	4.800E+00	2.280E+01	3.900E+01	3.600E+00	0.000E+00	0.000E+00
9.180E+01	7.850E+01	7.243E+02	9.200E+00	1.890E+01	3.500E+01	2.700E+00	0.000E+00	0.000E+00
8.810E+01	2.570E+01	6.760E+01	3.800E+00	1.580E+01	2.700E+01	7.600E+00	0.000E+00	0.000E+00
8.810E+01	2.570E+01	6.760E+01	3.800E+00	1.550E+01	2.700E+01	6.300E+00	0.000E+00	0.000E+00
9.170E+01	3.580E+01	8.080E+01	7.800E+00	1.160E+01	3.000E+01	6.300E+00	0.000E+00	0.000E+00
9.170E+01	3.580E+01	8.080E+01	7.800E+00	1.520E+01	2.700E+01	4.900E+00	0.000E+00	0.000E+00
9.010E+01	3.970E+01	8.660E+01	6.200E+00	1.060E+01	3.000E+01	4.000E+00	0.000E+00	0.000E+00
9.300E+01	7.530E+01	4.666E+02	7.700E+00	1.960E+01	3.600E+01	3.100E+00	0.000E+00	0.000E+00
9.150E+01	1.454E+02	6.082E+02	1.070E+01	1.030E+01	7.400E+01	2.200E+00	0.000E+00	0.000E+00
9.150E+01	1.454E+02	6.082E+02	1.070E+01	1.710E+01	4.300E+01	5.400E+00	0.000E+00	0.000E+00
9.240E+01	1.241E+02	6.807E+02	8.500E+00	2.250E+01	4.200E+01	5.400E+00	0.000E+00	0.000E+00
8.440E+01	7.340E+01	6.719E+02	3.200E+00	1.790E+01	4.500E+01	3.100E+00	0.000E+00	0.000E+00
9.430E+01	8.510E+01	6.923E+02	1.590E+01	1.980E+01	5.000E+01	5.400E+00	0.000E+00	0.000E+00
9.260E+01	4.650E+01	6.918E+02	8.800E+00	2.060E+01	2.400E+01	5.400E+00	0.000E+00	0.000E+00
8.760E+01	5.220E+01	1.038E+02	5.000E+00	9.000E+00	4.900E+01	2.200E+00	0.000E+00	0.000E+00
9.350E+01	1.493E+02	7.286E+02	8.100E+00	1.720E+01	4.300E+01	3.100E+00	0.000E+00	0.000E+00
9.140E+01	3.790E+01	6.738E+02	5.200E+00	1.590E+01	4.600E+01	3.600E+00	0.000E+00	0.000E+00
9.260E+01	4.650E+01	6.918E+02	8.800E+00	1.540E+01	3.500E+01	9.000E-01	0.000E+00	0.000E+00
8.720E+01	2.390E+01	6.470E+01	4.100E+00	1.400E+01	3.900E+01	3.100E+00	0.000E+00	0.000E+00
8.930E+01	5.130E+01	1.022E+02	9.600E+00	1.060E+01	4.600E+01	4.900E+00	0.000E+00	0.000E+00
9.370E+01	8.090E+01	6.852E+02	1.790E+01	1.760E+01	4.200E+01	3.100E+00	0.000E+00	0.000E+00
8.810E+01	2.570E+01	6.760E+01	3.800E+00	1.490E+01	3.800E+01	2.700E+00	0.000E+00	0.000E+00
9.350E+01	1.394E+02	5.942E+02	2.030E+01	1.760E+01	5.200E+01	5.800E+00	0.000E+00	0.000E+00
9.240E+01	1.241E+02	6.807E+02	8.500E+00	1.720E+01	5.800E+01	1.300E+00	0.000E+00	0.000E+00
9.090E+01	1.265E+02	6.865E+02	7.000E+00	1.560E+01	6.600E+01	3.100E+00	0.000E+00	0.000E+00
8.580E+01	4.830E+01	3.134E+02	3.900E+00	1.800E+01	4.200E+01	2.700E+00	0.000E+00	3.600E-01
9.100E+01	1.295E+02	6.926E+02	7.000E+00	2.170E+01	3.800E+01	2.200E+00	0.000E+00	4.300E-01
9.090E+01	1.265E+02	6.865E+02	7.000E+00	2.190E+01	3.900E+01	1.800E+00	0.000E+00	4.700E-01
9.550E+01	9.990E+01	5.133E+02	1.320E+01	2.330E+01	3.100E+01	4.500E+00	0.000E+00	5.500E-01
9.010E+01	1.080E+02	5.298E+02	1.250E+01	2.120E+01	5.100E+01	8.900E+00	0.000E+00	6.100E-01
9.000E+01	5.130E+01	2.963E+02	8.700E+00	1.660E+01	5.300E+01	5.400E+00	0.000E+00	7.100E-01
9.550E+01	9.990E+01	5.133E+02	1.320E+01	2.380E+01	3.200E+01	5.400E+00	0.000E+00	7.700E-01
9.520E+01	1.317E+02	5.788E+02	1.040E+01	2.740E+01	2.200E+01	4.000E+00	0.000E+00	9.000E-01
9.010E+01	3.970E+01	8.660E+01	6.200E+00	1.320E+01	4.000E+01	5.400E+00	0.000E+00	9.500E-01
8.440E+01	7.340E+01	6.719E+02	3.200E+00	2.420E+01	2.800E+01	3.600E+00	0.000E+00	9.600E-01
9.480E+01	1.083E+02	6.471E+02	1.700E+01	1.740E+01	4.300E+01	6.700E+00	0.000E+00	1.070E+00
9.370E+01	8.090E+01	6.852E+02	1.790E+01	2.370E+01	2.500E+01	4.500E+00	0.000E+00	1.120E+00
9.250E+01	5.640E+01	4.333E+02	7.100E+00	2.320E+01	3.900E+01	5.400E+00	0.000E+00	1.190E+00
9.010E+01	6.860E+01	3.552E+02	7.200E+00	2.480E+01	2.900E+01	2.200E+00	0.000E+00	1.360E+00
9.010E+01	5.120E+01	4.241E+02	6.200E+00	2.460E+01	4.300E+01	1.800E+00	0.000E+00	1.430E+00
9.430E+01	8.510E+01	6.923E+02	1.590E+01	2.010E+01	4.700E+01	4.900E+00	0.000E+00	1.460E+00
9.340E+01	1.454E+02	7.214E+02	8.100E+00	2.960E+01	2.700E+01	2.700E+00	0.000E+00	1.460E+00
9.480E+01	1.083E+02	6.471E+02	1.700E+01	1.640E+01	4.700E+01	1.300E+00	0.000E+00	1.560E+00
9.340E+01	1.454E+02	7.214E+02	8.100E+00	2.860E+01	2.700E+01	2.200E+00	0.000E+00	1.610E+00
9.210E+01	1.112E+02	6.541E+02	9.600E+00	1.840E+01	4.500E+01	3.600E+00	0.000E+00	1.630E+00
9.210E+01	1.112E+02	6.541E+02	9.600E+00	2.050E+01	3.500E+01	4.000E+00	0.000E+00	1.640E+00
9.240E+01	1.179E+02	6.680E+02	1.220E+01	1.900E+01	3.400E+01	5.800E+00	0.000E+00	1.690E+00
9.010E+01	3.970E+01	8.660E+01	6.200E+00	1.610E+01	2.900E+01	3.100E+00	0.000E+00	1.750E+00
9.520E+01	1.317E+02	5.788E+02	1.040E+01	2.030E+01	4.100E+01	4.000E+00	0.000E+00	1.900E+00
9.060E+01	5.010E+01	1.004E+02	7.800E+00	1.520E+01	3.100E+01	8.500E+00	0.000E+00	1.940E+00
9.250E+01	1.211E+02	6.744E+02	8.600E+00	1.780E+01	5.600E+01	1.800E+00	0.000E+00	1.950E+00
8.970E+01	9.000E+01	7.044E+02	4.800E+00	1.780E+01	6.700E+01	2.200E+00	0.000E+00	2.010E+00
8.490E+01	1.820E+01	5.500E+01	3.000E+00	5.300E+00	7.000E+01	4.500E+00	0.000E+00	2.140E+00
9.210E+01	1.112E+02	6.541E+02	9.600E+00	1.660E+01	4.700E+01	9.000E-01	0.000E+00	2.290E+00
9.600E+01	1.271E+02	5.705E+02	1.650E+01	2.340E+01	3.300E+01	4.500E+00	0.000E+00	2.510E+00
9.120E+01	4.830E+01	9.780E+01	1.250E+01	1.460E+01	2.600E+01	9.400E+00	0.000E+00	2.530E+00
9.520E+01	1.317E+02	5.788E+02	1.040E+01	2.070E+01	4.500E+01	2.200E+00	0.000E+00	2.550E+00
9.290E+01	1.333E+02	6.996E+02	9.200E+00	2.190E+01	3.500E+01	1.800E+00	0.000E+00	2.570E+00
8.560E+01	9.040E+01	6.096E+02	6.600E+00	1.740E+01	5.000E+01	4.000E+00	0.000E+00	2.690E+00
9.140E+01	1.424E+02	6.014E+02	1.060E+01	2.010E+01	3.900E+01	5.400E+00	0.000E+00	2.740E+00
9.090E+01	1.265E+02	6.865E+02	7.000E+00	1.770E+01	3.900E+01	2.200E+00	0.000E+00	3.070E+00
9.020E+01	9.690E+01	6.242E+02	8.900E+00	1.420E+01	5.300E+01	1.800E+00	0.000E+00	3.500E+00
9.020E+01	9.690E+01	6.242E+02	8.900E+00	2.030E+01	3.900E+01	4.900E+00	0.000E+00	4.530E+00
8.150E+01	9.100E+00	5.520E+01	2.700E+00	5.800E+00	5.400E+01	5.800E+00	0.000E+00	4.610E+00
9.020E+01	9.960E+01	6.312E+02	6.300E+00	1.920E+01	4.400E+01	2.700E+00	0.000E+00	4.690E+00
9.010E+01	8.290E+01	7.357E+02	6.200E+00	1.830E+01	4.500E+01	2.200E+00	0.000E+00	4.880E+00
8.880E+01	1.473E+02	6.145E+02	9.000E+00	1.440E+01	6.600E+01	5.400E+00	0.000E+00	5.230E+00
9.240E+01	1.241E+02	6.807E+02	8.500E+00	2.390E+01	3.200E+01	6.700E+00	0.000E+00	5.330E+00
8.490E+01	3.280E+01	6.642E+02	3.000E+00	1.910E+01	3.200E+01	4.000E+00	0.000E+00	5.440E+00
8.680E+01	1.560E+01	4.830E+01	3.900E+00	1.240E+01	5.300E+01	2.200E+00	0.000E+00	6.380E+00
9.170E+01	4.850E+01	6.961E+02	1.110E+01	1.680E+01	4.500E+01	4.500E+00	0.000E+00	6.830E+00
9.390E+01	1.357E+02	5.867E+02	1.510E+01	2.080E+01	3.400E+01	4.900E+00	0.000E+00	6.960E+00
9.100E+01	1.295E+02	6.926E+02	7.000E+00	1.760E+01	4.600E+01	3.100E+00	0.000E+00	7.040E+00
8.930E+01	5.130E+01	1.022E+02	9.600E+00	1.150E+01	3.900E+01	5.800E+00	0.000E+00	7.190E+00
9.090E+01	1.265E+02	6.865E+02	7.000E+00	2.100E+01	4.200E+01	2.200E+00	0.000E+00	7.300E+00
9.080E+01	4.190E+01	8.940E+01	7.900E+00	1.330E+01	4.200E+01	9.000E-01	0.000E+00	7.400E+00
9.070E+01	4.400E+01	9.240E+01	5.500E+00	1.150E+01	6.000E+01	4.000E+00	0.000E+00	8.240E+00
9.120E+01	4.830E+01	9.780E+01	1.250E+01	1.170E+01	3.300E+01	4.000E+00	0.000E+00	8.310E+00
9.520E+01	1.317E+02	5.788E+02	1.040E+01	2.420E+01	2.800E+01	2.700E+00	0.000E+00	8.680E+00
9.480E+01	1.083E+02	6.471E+02	1.700E+01	2.460E+01	2.200E+01	4.500E+00	0.000E+00	8.710E+00
9.290E+01	1.333E+02	6.996E+02	9.200E+00	2.430E+01	2.500E+01	4.000E+00	0.000E+00	9.410E+00
9.480E+01	1.083E+02	6.471E+02	1.700E+01	2.460E+01	2.200E+01	4.500E+00	0.000E+00	1.001E+01
9.390E+01	1.357E+02	5.867E+02	1.510E+01	2.350E+01	3.600E+01	5.400E+00	0.000E+00	1.002E+01
8.150E+01	9.100E+00	5.520E+01	2.700E+00	5.800E+00	5.400E+01	5.800E+00	0.000E+00	1.093E+01
9.290E+01	1.370E+02	7.064E+02	9.200E+00	2.150E+01	1.500E+01	9.000E-01	0.000E+00	1.106E+01
9.100E+01	1.295E+02	6.926E+02	7.000E+00	1.390E+01	5.900E+01	6.300E+00	0.000E+00	1.124E+01
9.100E+01	1.295E+02	6.926E+02	7.000E+00	2.160E+01	3.300E+01	2.200E+00	0.000E+00	1.153E+01
9.010E+01	3.760E+01	8.370E+01	7.200E+00	1.240E+01	5.400E+01	3.600E+00	0.000E+00	1.210E+01
8.390E+01	8.700E+00	3.210E+01	2.100E+00	8.800E+00	6.800E+01	2.200E+00	0.000E+00	1.305E+01
9.140E+01	3.790E+01	6.738E+02	5.200E+00	2.020E+01	3.700E+01	2.700E+00	0.000E+00	1.370E+01
9.060E+01	5.010E+01	1.004E+02	7.800E+00	1.510E+01	6.400E+01	4.000E+00	0.000E+00	1.399E+01
9.290E+01	1.370E+02	7.064E+02	9.200E+00	2.210E+01	3.400E+01	1.800E+00	0.000E+00	1.457E+01
9.350E+01	1.394E+02	5.942E+02	2.030E+01	2.290E+01	3.100E+01	7.200E+00	0.000E+00	1.545E+01
9.100E+01	1.295E+02	6.926E+02	7.000E+00	2.070E+01	3.700E+01	2.200E+00	0.000E+00	1.720E+01
9.240E+01	1.179E+02	6.680E+02	1.220E+01	1.960E+01	3.300E+01	6.300E+00	0.000E+00	1.923E+01
9.370E+01	8.090E+01	6.852E+02	1.790E+01	2.320E+01	2.600E+01	4.900E+00	0.000E+00	2.341E+01
9.060E+01	4.370E+01	6.869E+02	6.700E+00	1.840E+01	2.500E+01	3.100E+00	0.000E+00	2.423E+01
9.350E+01	1.394E+02	5.942E+02	2.030E+01	5.100E+00	9.600E+01	5.800E+00	0.000E+00	2.600E+01
9.430E+01	8.510E+01	6.923E+02	1.590E+01	2.010E+01	4.700E+01	4.900E+00	0.000E+00	2.613E+01
8.760E+01	5.220E+01	1.038E+02	5.000E+00	1.100E+01	4.600E+01	5.800E+00	0.000E+00	2.735E+01
9.170E+01	3.580E+01	8.080E+01	7.800E+00	1.700E+01	2.700E+01	4.900E+00	0.000E+00	2.866E+01
9.170E+01	3.580E+01	8.080E+01	7.800E+00	1.700E+01	2.700E+01	4.900E+00	0.000E+00	2.866E+01
9.240E+01	1.241E+02	6.807E+02	8.500E+00	1.690E+01	6.000E+01	1.300E+00	0.000E+00	2.948E+01
8.860E+01	9.180E+01	7.099E+02	7.100E+00	1.240E+01	7.300E+01	6.300E+00	0.000E+00	3.032E+01
9.290E+01	1.333E+02	6.996E+02	9.200E+00	1.940E+01	1.900E+01	1.300E+00	0.000E+00	3.172E+01
9.010E+01	3.970E+01	8.660E+01	6.200E+00	1.520E+01	2.700E+01	3.100E+00	0.000E+00	3.186E+01
9.020E+01	9.960E+01	6.312E+02	6.300E+00	1.620E+01	5.900E+01	3.100E+00	0.000E+00	3.207E+01
9.330E+01	1.412E+02	7.139E+02	1.390E+01	1.860E+01	4.900E+01	3.600E+00	0.000E+00	3.588E+01
8.760E+01	5.220E+01	1.038E+02	5.000E+00	1.100E+01	4.600E+01	5.800E+00	0.000E+00	3.685E+01
8.830E+01	1.503E+02	3.099E+02	6.800E+00	1.340E+01	7.900E+01	3.600E+00	0.000E+00	3.702E+01
9.010E+01	8.290E+01	7.357E+02	6.200E+00	1.540E+01	5.700E+01	4.500E+00	0.000E+00	3.771E+01
